TransactionId,Timestamp,Sender,Receiver,OrderingAccount,OrderingName,OrderingStreet,OrderingCountryCityZip,BeneficiaryAccount,BeneficiaryName,BeneficiaryStreet,BeneficiaryCountryCityZip,SettlementDate,SettlementCurrency,SettlementAmount,InstructedCurrency,InstructedAmount,Label
M01,2055-02-06 17:44:00,BANK6242,BANK1682,ACCOUNT421876,acctname60,address 111,country_city_zip 90,ACCOUNT551369,acctname154,address 197,country_city_zip 132,550206,currency 4,9164.12,currency 4,9164.12,0
M02,2055-02-09 23:21:00,BANK2501,BANK1682,ACCOUNT3176524,acctname192,address 38,country_city_zip 160,ACCOUNT1,acctname86,address 76,country_city_zip 99,550209,currency 4,6473.92875,currency 4,6473.92875,1
M03,2055-02-03 04:10:00,BANK65,BANK2602,ACCOUNT6331626,acctname152,address 127,country_city_zip 49,ACCOUNT857376,acctname37,address 34,country_city_zip 101,290218,currency 14,5019.9045,currency 6,5019.9045,1
M04,2055-02-20 22:41:00,BANK2705,BANK2602,ACCOUNT3375001,acctname70,address 144,country_city_zip 75,ACCOUNT6539204,acctname121,address 130,country_city_zip 127,290220,currency 14,9663.1868,currency 14,9663.1868,1
M05,2055-02-16 15:10:00,BANK3722,BANK2602,ACCOUNT6229505,acctname122,address 82,country_city_zip 201,ACCOUNT531442,acctname165,address 192,country_city_zip 156,290224,currency 14,4189.99146,currency 9,4189.99146,1
M06,2055-02-06 03:47:00,BANK6401,BANK2602,ACCOUNT7301385,acctname61,address 48,country_city_zip 191,ACCOUNT2571354,acctname88,address 62,country_city_zip 116,290206,currency 14,162.7,currency 14,162.7,0
M07,2055-02-17 12:47:00,BANK5,BANK2602,ACCOUNT2,acctname59,address 16,country_city_zip 153,ACCOUNT50654,acctname99,address 10,country_city_zip 21,290217,currency 14,7136.13,currency 14,7136.13,0
M08,2055-02-04 05:50:00,BANK4226,BANK2602,ACCOUNT6859001,acctname121,address 140,country_city_zip 42,ACCOUNT4251529,acctname194,address 60,country_city_zip 179,290203,currency 14,80329.6542,currency 14,80329.6542,1
M09,2055-02-03 00:53:00,BANK3482,BANK2602,ACCOUNT262145,acctname0,address 159,country_city_zip 58,ACCOUNT2146690,acctname181,address 13,country_city_zip 131,290203,currency 14,6752.2,currency 14,6752.2,0
M10,2055-02-02 15:51:00,BANK1765,BANK2602,ACCOUNT7645374,acctname8,address 17,country_city_zip 78,ACCOUNT10649,acctname127,address 6,country_city_zip 76,290223,currency 14,1841.9478,currency 14,1841.9478,1
M11,2055-02-17 14:40:00,BANK2402,BANK2602,ACCOUNT6967872,acctname94,address 113,country_city_zip 19,ACCOUNT343001,acctname55,address 155,country_city_zip 45,290217,currency 14,5282.21,currency 14,5282.21,0
M12,2055-02-06 14:51:00,BANK730,BANK1682,ACCOUNT7529537,acctname149,address 201,country_city_zip 32,ACCOUNT5177718,acctname191,address 161,country_city_zip 168,550206,currency 4,7486.29,currency 4,7486.29,0
M13,2055-02-04 11:38:00,BANK5330,BANK1682,ACCOUNT29792,acctname19,address 182,country_city_zip 104,ACCOUNT474553,acctname44,address 162,country_city_zip 31,550206,currency 4,4801.71155,currency 4,4801.71155,1
M14,2055-02-05 10:03:00,BANK5626,BANK1682,ACCOUNT4019680,acctname47,address 23,country_city_zip 165,ACCOUNT804358,acctname120,address 11,country_city_zip 48,550219,currency 4,8500.41385,currency 4,8500.41385,1
M15,2055-02-17 14:28:00,BANK226,BANK1682,ACCOUNT157465,acctname116,address 77,country_city_zip 198,ACCOUNT4826810,acctname54,address 175,country_city_zip 98,550213,currency 4,3708.4402,currency 4,3708.4402,1
M16,2055-02-13 15:59:00,BANK1370,BANK2602,ACCOUNT59320,acctname29,address 31,country_city_zip 81,ACCOUNT3869894,acctname119,address 30,country_city_zip 170,290213,currency 14,4692.9,currency 14,4692.9,0
M17,2055-02-19 23:47:00,BANK1937,BANK1682,ACCOUNT17577,acctname98,address 180,country_city_zip 148,ACCOUNT140609,acctname57,address 186,country_city_zip 163,550219,currency 4,7469.3365,currency 4,7469.3365,1
M18,2055-02-03 01:25:00,BANK3970,BANK1682,ACCOUNT438977,acctname9,address 141,country_city_zip 202,ACCOUNT6860,acctname164,address 110,country_city_zip 44,550203,currency 4,4326.8,currency 4,4326.8,0
M19,2055-02-16 14:52:00,BANK6401,BANK2602,ACCOUNT2515457,acctname138,address 132,country_city_zip 124,ACCOUNT4330748,acctname135,address 51,country_city_zip 68,290216,currency 14,9244.24,currency 14,9244.24,0
M20,2055-02-04 17:44:00,BANK4762,BANK2602,ACCOUNT1643033,acctname85,address 44,country_city_zip 94,ACCOUNT4173282,acctname95,address 86,country_city_zip 118,290204,currency 14,16510.97073,currency 14,16510.97073,1
M21,2055-02-18 23:22:00,BANK4097,BANK1682,ACCOUNT1225044,acctname134,address 177,country_city_zip 162,ACCOUNT9,acctname77,address 136,country_city_zip 30,550218,currency 4,16615.2345,currency 4,16615.2345,1
M22,2055-02-10 07:06:00,BANK37,BANK2602,ACCOUNT1953126,acctname142,address 105,country_city_zip 182,ACCOUNT513,acctname161,address 83,country_city_zip 169,290210,currency 14,6389.81,currency 14,6389.81,0
M23,2055-02-03 05:57:00,BANK1226,BANK2602,ACCOUNT2628073,acctname12,address 41,country_city_zip 199,ACCOUNT7414876,acctname36,address 71,country_city_zip 174,290203,currency 14,6257.75,currency 14,6257.75,0
M24,2055-02-11 05:11:00,BANK2117,BANK2602,ACCOUNT704970,acctname117,address 148,country_city_zip 183,ACCOUNT2863289,acctname103,address 19,country_city_zip 33,290211,currency 3,7666.92,currency 3,7666.92,0
M25,2055-02-09 03:38:00,BANK730,BANK1682,ACCOUNT4097,acctname81,address 66,country_city_zip 85,ACCOUNT389018,acctname145,address 183,country_city_zip 107,550209,currency 4,4360.0,currency 4,4360.0,0
M26,2055-02-11 15:13:00,BANK530,BANK1682,ACCOUNT166376,acctname79,address 124,country_city_zip 86,ACCOUNT2352638,acctname131,address 157,country_city_zip 155,550211,currency 4,6764.94,currency 4,6764.94,0
